Size, Seq, Par, Libc
10000, 0.733146, 0.314155, 0.329165
10000, 0.823272, 0.314674, 0.310350
400000, 0.698268, 0.317400, 0.319947
200000, 0.822687, 0.314383, 0.319212
1000000, 0.730194, 0.320825, 0.317267
600000, 0.659782, 0.324403, 0.333373
100, 0.706374, 0.333981, 0.318626
100000, 0.712696, 0.333981, 0.331163
800000, 1.029982, 0.331876, 0.339640
1000, 0.844402, 0.319950, 0.331258
100000, 0.696103, 0.307998, 0.311889
1000, 0.835513, 0.332200, 0.307330
100, 0.759817, 0.311424, 0.322797
1000000, 0.824489, 0.311424, 0.345282
400000, 0.677125, 0.314197, 0.323009
10000, 0.703978, 0.314197, 0.331495
600000, 0.690934, 0.327747, 0.337234
200000, 0.714533, 0.321086, 0.329721
800000, 0.792373, 0.314454, 0.329252
800000, 0.731099, 0.314454, 0.326206
100, 0.791397, 0.317694, 0.323593
100000, 0.791641, 0.313079, 0.319485
200000, 0.672407, 0.311521, 0.312655
1000000, 0.749154, 0.331707, 0.321885
1000, 0.778020, 0.331707, 0.331885
400000, 0.720963, 0.321638, 0.324124
600000, 0.761898, 0.330047, 0.318149
10000, 0.719541, 0.330047, 0.308231
800000, 0.754594, 0.319201, 0.315537
200000, 0.680417, 0.319201, 0.313302
10000, 0.747817, 0.316855, 0.320005
100, 0.668742, 0.322367, 0.338209
100000, 0.749729, 0.338579, 0.330580
600000, 0.739095, 0.313863, 0.316871
400000, 0.680345, 0.314728, 0.321415
1000000, 0.718467, 0.332064, 0.327415
1000, 0.724483, 0.332199, 0.332792
200000, 0.807813, 0.332199, 0.325734
800000, 0.693606, 0.331121, 0.319913
600000, 0.666988, 0.331121, 0.338480
100, 0.661835, 0.328372, 0.321117
10000, 0.640286, 0.321969, 0.317532
1000, 0.734088, 0.315329, 0.318756
400000, 0.688966, 0.316103, 0.331246
100000, 0.727137, 0.310786, 0.328163
1000000, 0.753194, 0.335553, 0.326947
400000, 0.688282, 0.335553, 0.327401
1000000, 0.654281, 0.333679, 0.327281
10000, 0.689420, 0.329055, 0.331108
200000, 0.724012, 0.330150, 0.352475
1000, 0.704252, 0.317050, 0.327856
100, 0.742429, 0.319967, 0.313569
100000, 0.706025, 0.322064, 0.343839
600000, 0.708394, 0.320063, 0.323736
800000, 0.770786, 0.320063, 0.319544
200000, 0.665864, 0.320179, 0.319085
100000, 0.697731, 0.317588, 0.318689
600000, 0.719059, 0.319001, 0.317498
1000000, 0.651440, 0.322621, 0.317692
1000, 0.678649, 0.318956, 0.318982
10000, 0.682086, 0.319279, 0.311528
100, 0.727644, 0.324403, 0.314564
400000, 0.702665, 0.324403, 0.323892
800000, 0.712391, 0.320148, 0.309702
400000, 0.789428, 0.320148, 0.328452
800000, 0.692305, 0.331880, 0.325963
1000000, 0.763586, 0.326629, 0.328240
600000, 0.693069, 0.322074, 0.326649
200000, 0.668287, 0.323012, 0.328546
10000, 0.696636, 0.323012, 0.330812
1000, 0.755850, 0.320567, 0.323877
100000, 0.738902, 0.320567, 0.332705
100, 0.782004, 0.313338, 0.309830
600000, 0.667317, 0.322011, 0.319681
1000000, 0.706090, 0.322011, 0.325554
1000, 0.714629, 0.329902, 0.330923
100, 0.738826, 0.325669, 0.317222
800000, 0.737015, 0.325669, 0.330073
10000, 0.666164, 0.331552, 0.342976
400000, 0.685753, 0.327656, 0.325667
100000, 0.742045, 0.327656, 0.353040
200000, 0.741823, 0.318912, 0.316982
100, 0.638410, 0.307877, 0.336811
400000, 0.699542, 0.331693, 0.313430
100000, 0.716106, 0.323781, 0.323144
600000, 0.708300, 0.323781, 0.312878
800000, 0.757030, 0.305283, 0.319507
1000, 0.706170, 0.321872, 0.317089
10000, 0.694808, 0.321872, 0.311670
200000, 0.695942, 0.326594, 0.318274
1000000, 0.733437, 0.336959, 0.333360
1000, 0.717994, 0.326325, 0.324472
600000, 0.685382, 0.329799, 0.330923
1000000, 0.703063, 0.332259, 0.316988
800000, 0.726359, 0.319738, 0.324548
100000, 0.778934, 0.319738, 0.326310
100, 0.746246, 0.318422, 0.330498
400000, 0.718239, 0.318422, 0.316619
200000, 0.745473, 0.324675, 0.332219
10000, 0.720628, 0.326288, 0.320540
100, 0.695498, 0.310384, 0.314235
1000, 0.698961, 0.322017, 0.332976
200000, 0.719508, 0.322017, 0.304986
400000, 0.685248, 0.322227, 0.329576
100000, 0.685065, 0.319129, 0.318903
600000, 0.694555, 0.314375, 0.310808
1000000, 0.705214, 0.314375, 0.311027
800000, 0.694633, 0.327394, 0.318922
10000, 0.672311, 0.327394, 0.315736
400000, 0.668006, 0.320491, 0.321548
10000, 0.778652, 0.308319, 0.313286
100000, 0.714862, 0.308319, 0.316498
600000, 0.760374, 0.315749, 0.326624
1000, 0.686891, 0.321004, 0.313262
800000, 0.765188, 0.330833, 0.317584
200000, 0.658064, 0.313172, 0.311562
1000000, 0.636556, 0.312496, 0.319115
100, 0.756310, 0.316460, 0.316370
